train_pct,w0,w1,n_train,n_test
10,11788.959124709994,13184.977245354748,3,27
20,13995.623841946803,12275.882231764124,6,24
30,22077.00597279629,10098.089802146844,9,21
40,22434.858357237226,9985.376383686302,12,18
50,25191.40285860222,9616.19761265551,15,15
60,23840.775537763646,9736.490143469342,18,12
70,23672.86488367563,9693.924398271372,21,9
80,22991.83893422134,9769.308778196006,24,6
90,23515.14109714586,9767.558865024426,27,3
