train_pct,train_rss_mean,test_rss_mean,train_r2,test_r2
10,62334520.002471514,186415131.42912555,0.7473415229344602,0.7602557817272402
20,38103668.93963325,120224620.18990608,0.8482051411050328,0.8563283829346966
30,30311271.672503725,36459391.750402324,0.946204392732679,0.9525549041098391
40,28278010.263991054,37423615.34311827,0.953968863686221,0.9502156867632753
50,24945572.66896088,38186177.71030294,0.9653751010170813,0.9469730106071375
60,29170094.881499153,36480222.145149045,0.9563047692898327,0.9549469916061755
70,30143239.620624065,37705011.19815605,0.9556564243605725,0.9415700550960707
80,28382018.613603186,52885720.65367087,0.9628657427210116,0.8964640942865223
90,30910516.30031341,45843410.27214327,0.9555962140599706,0.8994571658510013
