train_pct,train_rss_mean,test_rss_mean,train_r2,test_r2
10,56420523.55555561,83506466.27160518,0.7713125318648176,0.8926042520072026
20,31753229.30836157,51726586.16681817,0.8735035996150802,0.9381853544796769
30,25052718.306665905,36156721.836254574,0.9555371279184308,0.9529487725319488
40,23840295.91943336,37789731.97334376,0.9611926051025705,0.9497286449627115
50,22786589.018123753,43144969.58282781,0.9683718087618999,0.9400870162554471
60,27258333.26431327,37867393.38893943,0.959168485203858,0.9532338376280692
70,28922215.612383645,37784662.46621304,0.9574526669392872,0.9414466227178215
80,27102249.731261354,49830096.85590839,0.9645401573418148,0.9024461774180497
90,29385914.538985353,48843452.14621687,0.9577863453924944,0.8928775350863083
