Mbps,Packet_transmitted,Packet_collided,Packet_received,Simulation_Time,Bandwidth_bps,Frame_time_s,G,S
1,4448,2744,1704,100,1000000.0,0.01168,0.5195263999999999,0.1990272
2,4448,1697,2751,100,2000000.0,0.00584,0.25976319999999997,0.1606584
5,4448,769,3679,100,5000000.0,0.002336,0.10390527999999999,0.08594144
10,4448,431,4017,100,10000000.0,0.001168,0.051952639999999994,0.04691856
20,4448,236,4212,100,20000000.0,0.000584,0.025976319999999997,0.024598079999999998
