Mbps,Packet_transmitted,Packet_collided,Packet_received,Simulation_Time,Bandwidth_bps,Frame_time_s,G,S
1,4448,2322,2142,100,1000000.0,0.01168,0.5195263999999999,0.2501856
2,4448,1066,3398,100,2000000.0,0.00584,0.25976319999999997,0.19844319999999996
5,4448,555,3909,100,5000000.0,0.002336,0.10390527999999999,0.09131424
10,4448,375,4089,100,10000000.0,0.001168,0.051952639999999994,0.04775952
20,4448,292,4172,100,20000000.0,0.000584,0.025976319999999997,0.024364479999999997
