train_pct,w0,w1,pearson_r_from_slope_train,n_train,n_test
10,21048.666666666668,11263.333333333336,0.8782440047417449,3,27
20,22574.891930022604,10553.016365688483,0.9346141447758425,6,24
30,27957.902092822358,9252.999646615357,0.9775157942040783,9,21
40,27649.88180610893,9249.123505976087,0.980404306958394,12,18
50,28344.337394504008,9162.715457764185,0.984058844156131,15,15
60,26806.601413653676,9284.878351817762,0.9793714745712466,18,12
70,25918.438334893235,9339.081723815198,0.9784951031759369,21,9
80,25321.583011776824,9423.815323030973,0.9821100535794418,24,6
90,26098.01840261342,9371.313117259971,0.9786655942621538,27,3
