train_pct,w0,w1,pearson_r_from_slope_train,n_train,n_test
10,21048.66666666667,11263.333333333334,0.8782440047417448,3,27
20,22574.891930022568,10553.016365688489,0.9346141447758429,6,24
30,27957.902092822347,9252.999646615363,0.9775157942040789,9,21
40,27649.881806108897,9249.123505976097,0.9804043069583949,12,18
50,28344.337394504044,9162.715457764181,0.9840588441561307,15,15
60,26806.601413653698,9284.878351817762,0.9793714745712466,18,12
70,25918.438334893202,9339.081723815198,0.9784951031759369,21,9
80,25321.583011776813,9423.815323030976,0.9821100535794421,24,6
90,26098.0184026134,9371.313117259973,0.978665594262154,27,3
